question,response
Combien de règles de validation sont associées à chaque jeu de règles ?,"This query calculates the number of validation rules linked to each ruleset.
### Step-by-Step Solution:
1. Access the **validation_rules** table, where each row represents a validation rule and includes the **ruleset_id** it belongs to.
2. Group the rows by **ruleset_id** so that all rules for the same ruleset are aggregated.
3. Apply **COUNT(*)** to each group to obtain the total number of validation rules per ruleset.
4. Output two columns: the ruleset identifier and the count named **nb_validation_rules**.
Here is the resulting SQL query:

SELECT ruleset_id, COUNT(*) AS nb_validation_rules FROM validation_rules GROUP BY ruleset_id;"
Quel pourcentage de masques sont couverts par au moins une règle d'extraction ?,"This query computes the percentage of distinct document masks that have at least one extraction rule defined.
### Step-by-Step Solution:
1. Determine the number of unique masks present in the **field_rules** table (masks with extraction rules) using **COUNT(DISTINCT mask)**.
2. Determine the total number of distinct masks that appear in the **documents** table (all possible masks) using **COUNT(DISTINCT mask)**.
3. Multiply the first count by 100.0 and divide by the second count to obtain a coverage percentage.
4. Return the result as a single column named **coverage_percent**.
Here is the resulting SQL query:

SELECT (SELECT COUNT(DISTINCT mask) FROM field_rules) * 100.0 / (SELECT COUNT(DISTINCT mask) FROM documents) AS coverage_percent;"
Combien de champs SAFIR différents sont couverts par chaque jeu de règles d'extraction ?,"This query determines how many unique SAFIR fields are covered by each extraction rule set.
### Step-by-Step Solution:
1. Scan the **field_rules** table, which stores every extraction rule together with its associated SAFIR field identifier.
2. Group the rows by **ruleset_id** so that each rule set is considered separately.
3. Within each group, count the distinct values of **safir_field_id** to avoid double‑counting the same field.
4. Return the **ruleset_id** alongside the computed count (named **nb_fields**) for every rule set.
Here is the resulting SQL query:

SELECT ruleset_id, COUNT(DISTINCT safir_field_id) AS nb_fields FROM field_rules GROUP BY ruleset_id;"
Quel est le nombre moyen d'exécutions d'extraction par année budgétaire ?,"This query calculates the average number of extraction runs that occur for documents of each budget year.
### Step-by-Step Solution:
1. In a sub‑query, count how many rows exist in **extraction_runs** for each **document_id**, giving the number of runs per document.
2. Join this sub‑query to the **documents** table to attach the **document_year** attribute to each document.
3. Group the combined result by **document_year** so that all documents from the same fiscal year are together.
4. Compute the average of the per‑document run counts (alias **avg_runs_per_doc**) for each year.
Here is the resulting SQL query:

SELECT d.document_year, AVG(cnt) AS avg_runs_per_doc
FROM (
    SELECT document_id, COUNT(*) AS cnt
    FROM extraction_runs
    GROUP BY document_id
) er
JOIN documents d ON er.document_id = d.document_id
GROUP BY d.document_year;"
Quel est le ratio de règles de validation par rapport aux règles d'extraction pour chaque masque ?,"This query measures the proportion of validation rules relative to extraction rules for each document mask.
### Step-by-Step Solution:
1. Identify every distinct **mask** value that appears in the **field_rules** table.
2. For each mask, count the total number of rows in **validation_rules** that share the same mask.
3. Also count the total number of rows in **field_rules** for that mask.
4. Divide the validation‑rule count by the extraction‑rule count (casting to a floating‑point value) to obtain the **validation_to_extraction_ratio** for each mask.
Here is the resulting SQL query:

SELECT fr.mask,
       (SELECT COUNT(*) FROM validation_rules vr WHERE vr.mask = fr.mask) * 1.0 /
       (SELECT COUNT(*) FROM field_rules fr2 WHERE fr2.mask = fr.mask) AS validation_to_extraction_ratio
FROM (SELECT DISTINCT mask FROM field_rules) fr;"
Combien de règles d'extraction ciblent les indicateurs dont l'identifiant commence par « D » pour chaque masque ?,"The goal is to determine how many extraction rules target indicators whose identifier begins with the letter ""D"" for each document mask.
### Step-by-Step Solution:
1. Access the **field_rules** table, which stores each extraction rule together with its target field identifier (**safir_field_id**) and the document mask (**mask**).
2. Apply a filter on **safir_field_id** using the pattern `LIKE 'D%'` to keep only rules whose identifier starts with ""D"".
3. Group the filtered rows by the **mask** column so that counts are calculated separately for each document type.
4. Use the aggregate function **COUNT(*)** to count the number of rows (rules) in each group, naming the result **nb_rules**.
5. Select the **mask** and the computed count for the final output.
Here is the resulting SQL query:

SELECT mask, COUNT(*) AS nb_rules FROM field_rules WHERE safir_field_id LIKE 'D%' GROUP BY mask;"
Quel est le nombre moyen de règles de validation par règle d'extraction pour chaque jeu de règles ?,"We need to compute, for each rule set, the average number of validation rules associated with a single extraction rule.
### Step-by-Step Solution:
1. Start from the **field_rules** table (alias **fr**) to get each extraction rule and its **ruleset_id**.
2. Perform a **LEFT JOIN** to **validation_rules** (alias **vr**) on the same **ruleset_id** so that rule sets without validation rules are still included.
3. For each **ruleset_id**, count the total number of validation rules (**vr.validation_rule_id**) and the total number of extraction rules (**fr.extraction_rule_id**).
4. Calculate the density by dividing the validation‑rule count by the extraction‑rule count; multiply by 1.0 (or cast) to obtain a floating‑point result.
5. Group the calculation by **fr.ruleset_id** to produce one row per rule set.
Here is the resulting SQL query:

SELECT fr.ruleset_id,
       COUNT(vr.validation_rule_id) * 1.0 / COUNT(fr.extraction_rule_id) AS density
FROM field_rules fr
LEFT JOIN validation_rules vr ON fr.ruleset_id = vr.ruleset_id
GROUP BY fr.ruleset_id;"
Quels jeux de règles ont plus de 50 % de leurs règles d'extraction associées à au moins une règle de validation ?,"The task is to identify rule sets where more than half of their extraction rules are linked to at least one validation rule.
### Step-by-Step Solution:
1. Use the **field_rules** table (alias **fr**) as the base to count all extraction rules per **ruleset_id**.
2. **LEFT JOIN** the **validation_rules** table (alias **vr**) on **ruleset_id** so that we can see which extraction rules have matching validation rules.
3. For each **ruleset_id**, compute two aggregates: the count of validation rules (**vr.validation_rule_id**) and the count of extraction rules (**fr.extraction_rule_id**).
4. Derive the coverage percentage by dividing the validation‑rule count by the extraction‑rule count and multiplying by 100.
5. Apply a **HAVING** clause to keep only those rule sets where the coverage percentage exceeds 50%.
6. Return the **ruleset_id** and the calculated percentage.
Here is the resulting SQL query:

SELECT fr.ruleset_id,
       COUNT(vr.validation_rule_id) * 100.0 / COUNT(fr.extraction_rule_id) AS validation_coverage_percent
FROM field_rules fr
LEFT JOIN validation_rules vr ON fr.ruleset_id = vr.ruleset_id
GROUP BY fr.ruleset_id
HAVING validation_coverage_percent > 50;"
Quel est le nombre moyen de champs extraits par document pour chaque type de masque ?,"The query determines how many fields are extracted on average for each document type (mask).
### Step-by-Step Solution:
1. Aggregate the extraction_results table by document_id to count how many field rows belong to each document (cnt).
2. Join this intermediate result with the documents table to associate each document_id with its mask value.
3. Group the joined data by mask and calculate the average of the cnt values for each mask (avg_fields_per_doc).
4. Select the mask and its corresponding average count.
5. The result shows, for every mask, the mean number of extracted fields per document.
Here is the resulting SQL query:

SELECT d.mask, AVG(cnt) AS avg_fields_per_doc
FROM (
    SELECT document_id, COUNT(*) AS cnt
    FROM extraction_results
    GROUP BY document_id
) er
JOIN documents d ON er.document_id = d.document_id
GROUP BY d.mask;"
Quel masque montre le plus haut taux de documents dont l'extraction n'est pas réussie ?,"The query identifies which document masks have the highest proportion of documents whose extraction did not succeed.
### Step-by-Step Solution:
1. Join the documents table with the states table to obtain the processing state code for each document.
2. For each mask, count the total number of documents.
3. Within the same grouping, sum a conditional expression that adds 1 for every document whose state code is not 'SUCCESS' (failure count).
4. Compute the failure rate as a percentage: 100 × failure count ÷ total count.
5. Order the masks by failure_rate_percent in descending order and keep the top five entries.
Here is the resulting SQL query:

SELECT d.mask,
       100.0 * SUM(CASE WHEN s.code <> 'SUCCESS' THEN 1 ELSE 0 END) / COUNT(*) AS failure_rate_percent
FROM documents d
JOIN states s ON d.state_id = s.state_id
GROUP BY d.mask
ORDER BY failure_rate_percent DESC
LIMIT 5;"
"Pour chaque année, quels masques présentent une augmentation de plus de 10 % du taux de champs extraits signalés avec un avertissement par rapport à l'année précédente ?","The query finds, for each year, the masks that experienced more than a 10 % rise in the proportion of extraction results flagged with a warning compared to the previous year.
### Step-by-Step Solution:
1. In the CTE ""warnings"", join documents with extraction_results, group by year (converted to integer) and mask, and compute two aggregates: total_results (all rows) and warning_results (rows where message_warning is present and not empty).
2. In the second CTE ""rates"", calculate the warning_rate for each year‑mask pair as warning_results / total_results.
3. Self‑join the rates CTE (r1 as current year, r0 as previous year) on matching mask and where r1.year = r0.year + 1.
4. Determine the percentage increase between the two years: ((r1.warning_rate - r0.warning_rate) / r0.warning_rate) × 100.
5. Filter to keep only rows where this increase exceeds 10 % and output the year, mask, current_rate, previous_rate, and increase_percent.
Here is the resulting SQL query:

WITH warnings AS (
    SELECT CAST(d.document_year AS INTEGER) AS year, d.mask,
           COUNT(*) AS total_results,
           SUM(CASE WHEN er.message_warning IS NOT NULL AND er.message_warning <> '' THEN 1 ELSE 0 END) AS warning_results
    FROM documents d
    JOIN extraction_results er ON d.document_id = er.document_id
    GROUP BY year, d.mask
),
rates AS (
    SELECT year, mask,
           warning_results * 1.0 / total_results AS warning_rate
    FROM warnings
)
SELECT r1.year, r1.mask, r1.warning_rate AS current_rate,
       r0.warning_rate AS previous_rate,
       ((r1.warning_rate - r0.warning_rate) / r0.warning_rate) * 100.0 AS increase_percent
FROM rates r1
JOIN rates r0 ON r1.mask = r0.mask AND r1.year = r0.year + 1
WHERE ((r1.warning_rate - r0.warning_rate) / r0.warning_rate) > 0.10;"
"Quels jeux de règles ont une moyenne de champs d'extraction par masque inférieure à 80 % de la moyenne globale, indiquant un potentiel de couverture insuffisant ?","The query identifies rule sets whose average number of extraction fields per document mask is significantly lower than the overall average, suggesting possible coverage gaps.
### Step-by-Step Solution:
1. **Count extraction rules per mask** – The `mask_counts` CTE groups `field_rules` by `mask` and records how many rules exist for each mask.
2. **Calculate the global average** – The `global_avg` CTE computes the average of those mask‑level counts.
3. **Count extraction rules per ruleset and mask** – The `ruleset_mask_counts` CTE groups `field_rules` by both `ruleset_id` and `mask` to obtain a count for each combination.
4. **Derive the average per ruleset** – The `ruleset_avg` CTE averages the counts across masks for each `ruleset_id`.
5. **Compare to the global average** – The final SELECT joins the per‑ruleset averages with the global average and keeps only those where the ruleset’s average is less than 80 % of the global average, also computing the percentage.
Here is the resulting SQL query:

WITH mask_counts AS (
    SELECT mask, COUNT(*) AS cnt FROM field_rules GROUP BY mask
),
global_avg AS (
    SELECT AVG(cnt) AS avg_cnt FROM mask_counts
),
ruleset_mask_counts AS (
    SELECT ruleset_id, mask, COUNT(*) AS cnt FROM field_rules GROUP BY ruleset_id, mask
),
ruleset_avg AS (
    SELECT ruleset_id, AVG(cnt) AS avg_cnt FROM ruleset_mask_counts GROUP BY ruleset_id
)
SELECT r.ruleset_id, r.avg_cnt, g.avg_cnt,
       (r.avg_cnt / g.avg_cnt) * 100.0 AS percent_of_global
FROM ruleset_avg r, global_avg g
WHERE (r.avg_cnt / g.avg_cnt) < 0.8;"
"Pour chaque masque, quel pourcentage de règles d'extraction possède au moins une règle de validation correspondante, et quels masques sont en dessous de 30 % ?","This query measures how many extraction rules for each document mask have at least one matching validation rule, then flags masks whose validation coverage is below 30 %.
### Step-by-Step Solution:
1. **Total extraction rules per mask** – The `fr_counts` CTE counts all rows in `field_rules` for each `mask`.
2. **Validated extraction rules per mask** – The `fr_validated` CTE counts extraction rules that have a corresponding validation rule (same `mask` and `ruleset_id`) using an EXISTS sub‑query.
3. **Combine totals and validated counts** – The main SELECT left‑joins the two CTEs so every mask appears, substituting zero for missing validated counts.
4. **Calculate coverage percentage** – It computes `(validated / total) * 100` for each mask.
5. **Filter low‑coverage masks** – The WHERE clause keeps only masks where the coverage percentage is under 30 %.
Here is the resulting SQL query:

WITH fr_counts AS (
    SELECT mask, COUNT(*) AS total_fr FROM field_rules GROUP BY mask
),
fr_validated AS (
    SELECT fr.mask, COUNT(*) AS validated_fr
    FROM field_rules fr
    WHERE EXISTS (
        SELECT 1 FROM validation_rules vr
        WHERE vr.mask = fr.mask AND vr.ruleset_id = fr.ruleset_id
    )
    GROUP BY fr.mask
)
SELECT fc.mask,
       fc.total_fr,
       COALESCE(fv.validated_fr,0) AS validated_fr,
       (COALESCE(fv.validated_fr,0) * 1.0 / fc.total_fr) * 100.0 AS validation_coverage_percent
FROM fr_counts fc
LEFT JOIN fr_validated fv ON fc.mask = fv.mask
WHERE (COALESCE(fv.validated_fr,0) * 1.0 / fc.total_fr) < 0.30;"
"Quels sont les trois jeux de règles avec le plus grand nombre moyen de règles de validation par règle d'extraction, et quels masques couvrent‑ils ?","The query ranks rule sets by the average number of validation rules per extraction rule and shows which document masks each top rule set covers.
### Step-by-Step Solution:
1. **Aggregate rule counts per ruleset** – The `counts` CTE joins `field_rules` with `validation_rules` on `ruleset_id` and counts extraction rules (`fr_cnt`) and validation rules (`vr_cnt`) for each `ruleset_id`.
2. **Compute average validation‑to‑extraction ratio** – The `ratios` CTE divides the validation count by the extraction count (guarding against division by zero) to obtain `avg_vr_per_fr` for each ruleset.
3. **Select top three rule sets** – The final SELECT joins back to `field_rules` to collect distinct masks covered, orders by the ratio descending, and limits the result to three rows.
4. **Present masks covered** – `GROUP_CONCAT(DISTINCT fr.mask)` aggregates the unique masks associated with each of the top rule sets.
Here is the resulting SQL query:

WITH counts AS (
    SELECT fr.ruleset_id,
           COUNT(fr.extraction_rule_id) AS fr_cnt,
           COUNT(vr.validation_rule_id) AS vr_cnt
    FROM field_rules fr
    LEFT JOIN validation_rules vr ON fr.ruleset_id = vr.ruleset_id
    GROUP BY fr.ruleset_id
),
ratios AS (
    SELECT ruleset_id,
           vr_cnt * 1.0 / NULLIF(fr_cnt,0) AS avg_vr_per_fr
    FROM counts
)
SELECT r.ruleset_id,
       r.avg_vr_per_fr,
       GROUP_CONCAT(DISTINCT fr.mask) AS masks_covered
FROM ratios r
JOIN field_rules fr ON fr.ruleset_id = r.ruleset_id
GROUP BY r.ruleset_id, r.avg_vr_per_fr
ORDER BY r.avg_vr_per_fr DESC
LIMIT 3;"
Quel est le taux de réussite des extractions par année budgétaire ?,"The query determines how often extraction runs succeed for each budget year.
### Step-by-Step Solution:
1. Join the **documents** table with **extraction_runs** to associate each run with its source document.
2. Join the resulting set with **states** to obtain the execution status of each run.
3. Group the rows by the document's fiscal year (document_year).
4. Within each group, count the total number of runs and sum a conditional flag that is 1 only when the state code equals 'SUCCESS'.
5. Compute the success rate as a percentage, round it to two decimal places, and label it as `taux_success_percent`.
6. Order the results chronologically by the budget year.
Here is the resulting SQL query:

SELECT d.document_year,
       ROUND(100.0 * SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) / COUNT(*), 2) AS taux_success_percent
FROM documents d
JOIN extraction_runs r ON r.document_id = d.document_id
JOIN states s ON r.state_id = s.state_id
GROUP BY d.document_year
ORDER BY d.document_year;"
Combien de documents par type de masque n’ont pas abouti à une extraction réussie ?,"The query counts how many documents of each mask type did not achieve a successful extraction.
### Step-by-Step Solution:
1. Join **documents** with **extraction_runs** to link each document to its extraction attempt.
2. Join the result with **states** to retrieve the status of each run.
3. Apply a filter to keep only rows where the state code is different from 'SUCCESS', indicating a failed or partial extraction.
4. Group the filtered rows by the document mask (mask).
5. Count the number of documents in each group and label the count as `nb_documents_non_reussis`.
6. Sort the output in descending order of the count to highlight the mask types with the most unsuccessful extractions.
Here is the resulting SQL query:

SELECT d.mask,
       COUNT(*) AS nb_documents_non_reussis
FROM documents d
JOIN extraction_runs r ON r.document_id = d.document_id
JOIN states s ON r.state_id = s.state_id
WHERE s.code <> 'SUCCESS'
GROUP BY d.mask
ORDER BY nb_documents_non_reussis DESC;"
Quel est le volume mensuel des extractions (nombre de runs) pour l'année 2024 ?,"The query reports the monthly number of extraction runs performed for the fiscal year 2024.
### Step-by-Step Solution:
1. Join **extraction_runs** with **documents** to associate each run with its document year.
2. Filter the joined rows to keep only those where the document's year equals '2024'.
3. Use SQLite's `strftime` function to extract the year‑month component (YYYY‑MM) from the run's start_time and alias it as `mois`.
4. Group the rows by this month value.
5. Count the runs in each month and label the count as `nb_runs`.
6. Order the results chronologically by the month.
Here is the resulting SQL query:

SELECT strftime('%Y-%m', r.start_time) AS mois,
       COUNT(*) AS nb_runs
FROM extraction_runs r
JOIN documents d ON d.document_id = r.document_id
WHERE d.document_year = '2024'
GROUP BY mois
ORDER BY mois;"
Quel est le temps moyen d'extraction (en minutes) par masque ?,"This query calculates how long each extraction run takes and then averages those durations for each document mask.
### Step-by-Step Solution:
1. Join the `extraction_runs` table with `documents` to associate each run with its document mask.
2. Join the resulting rows with `extraction_results` to access the timestamps of the extracted fields.
3. For each run, find the latest `created_at` timestamp among its results and compute the difference from the run's `start_time`; convert the difference from days to minutes.
4. Store the run identifier, mask, and computed duration in a CTE named `run_durations`.
5. Group the CTE by mask, calculate the average duration, round it to two decimals, and order the masks from longest to shortest average duration.
Here is the resulting SQL query:

WITH run_durations AS (
  SELECT r.run_id,
         d.mask,
         (julianday(MAX(er.created_at)) - julianday(r.start_time)) * 24 * 60 AS duree_minutes
  FROM extraction_runs r
  JOIN documents d ON d.document_id = r.document_id
  JOIN extraction_results er ON er.run_id = r.run_id
  GROUP BY r.run_id
)
SELECT mask,
       ROUND(AVG(duree_minutes), 2) AS duree_moyenne_minutes
FROM run_durations
GROUP BY mask
ORDER BY duree_moyenne_minutes DESC;"
Quel est le taux de succès des extractions selon le type de budget (BP ou BA) ?,"This query measures the proportion of extraction runs that finished successfully for each budget type (BP or BA).
### Step-by-Step Solution:
1. Join `documents` with `extraction_runs` to link each document to its extraction run.
2. Join the runs with `states` to retrieve the execution state code for each run.
3. Group the combined rows by the `budget_type` column from the `documents` table.
4. Within each group, count how many runs have a state code of 'SUCCESS' and divide that count by the total number of runs in the group.
5. Multiply by 100, round the result to two decimal places, and label it as the success rate percentage for each budget type.
Here is the resulting SQL query:

SELECT d.budget_type,
       ROUND(100.0 * SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) / COUNT(*), 2) AS taux_success_percent
FROM documents d
JOIN extraction_runs r ON r.document_id = d.document_id
JOIN states s ON r.state_id = s.state_id
GROUP BY d.budget_type;"
