"id","text_query","sql_query"
"14","Combien de champs SAFIR distincts ont été extraits pour chaque document ?","SELECT d.document_id AS 'Document', COUNT(DISTINCT er.safir_field_id) AS 'Nb_Champs_Distincts' FROM extraction_results er JOIN documents d ON er.document_id = d.document_id GROUP BY d.document_id"
"15","Quels documents sont en état PENDING mais n'ont aucun résultat d'extraction associé ?","SELECT d.document_id AS 'Document', d.city_name AS 'Ville' FROM documents d LEFT JOIN extraction_results er ON d.document_id = er.document_id WHERE er.result_id IS NULL AND d.state_id = (SELECT state_id FROM states WHERE code='PENDING')"
"19","Combien de résultats d'extraction contiennent un message d'avertissement, par état ?","SELECT s.code AS 'Etat', COUNT(er.result_id) AS 'Nb_Warnings' FROM extraction_results er JOIN states s ON er.state_id = s.state_id WHERE er.message_warning IS NOT NULL GROUP BY s.code"
"20","Pour chaque jeu de règles, combien de règles de champ et de validation existent ?","SELECT rs.ruleset_id AS 'Ruleset', (SELECT COUNT(*) FROM field_rules fr WHERE fr.ruleset_id = rs.ruleset_id) AS 'Nb_Field_Rules', (SELECT COUNT(*) FROM validation_rules vr WHERE vr.ruleset_id = rs.ruleset_id) AS 'Nb_Validation_Rules' FROM rulesets rs"
"1","Quel est le nombre de documents par type de budget et par année ?","SELECT budget_type AS 'Type_Budget', document_year AS 'Année', COUNT(*) AS 'Nombre_Documents' FROM documents GROUP BY budget_type, document_year ORDER BY budget_type, document_year;"
"2","Quels documents sont en état d'erreur et quel est leur message d'erreur ?","SELECT d.document_id AS 'Identifiant_Document', d.error_message AS 'Message_Erreur' FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'ERROR';"
"4","Quels sont les 5 champs SAFIR avec les valeurs extraites les plus élevées (état SUCCESS) ?","SELECT er.safir_field_id AS Champ_SAFIR, MAX(CAST(er.value AS REAL)) AS Valeur FROM extraction_results er JOIN states s ON er.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY er.safir_field_id ORDER BY Valeur DESC LIMIT 5;"
"5","Combien d'extractions ont été exécutées par état du processus ?","SELECT s.code AS 'Etat', COUNT(*) AS 'Nombre_Exécutions' FROM extraction_runs er JOIN states s ON er.state_id = s.state_id GROUP BY s.code;"
"6","Quels documents possèdent au moins un résultat avec un avertissement et quels sont les champs concernés ?","SELECT DISTINCT d.document_id AS 'Identifiant_Document', er.safir_field_id AS 'Champ_SAFIR' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_warning IS NOT NULL;"
"7","Quel pourcentage de documents provient de chaque ville ?","SELECT city_name AS 'Ville', (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents)) AS 'Pourcentage' FROM documents GROUP BY city_name;"
"8","Quelles règles de champ s'appliquent au masque M57_CA et quelles sont leurs définitions ?","SELECT fr.extraction_rule_id AS 'Regle_Champ', fr.safir_field_id AS 'Champ_SAFIR', fr.definition AS 'Définition' FROM field_rules fr WHERE fr.mask = 'M57_CA';"
"9","Combien de règles de validation existent par niveau de problème ?","SELECT level_of_problem AS 'Niveau_Problème', COUNT(*) AS 'Nombre_Règles' FROM validation_rules GROUP BY level_of_problem;"
"10","Quels champs SAFIR affichent une variation supérieure à 10% par rapport à l'année précédente ?","SELECT sub.Doc_Courant, sub.Champ_SAFIR, sub.Valeur_Courante, sub.Valeur_Année_Précédente, sub.Variation_Pourcentage FROM (SELECT cur.document_id AS Doc_Courant, cur.safir_field_id AS Champ_SAFIR, cur.value AS Valeur_Courante, prev.value AS Valeur_Année_Précédente, ((CAST(cur.value AS REAL) - CAST(prev.value AS REAL)) / CAST(prev.value AS REAL)) * 100.0 AS Variation_Pourcentage FROM extraction_results cur JOIN documents dcur ON cur.document_id = dcur.document_id JOIN extraction_results prev ON cur.safir_field_id = prev.safir_field_id JOIN documents dprev ON prev.document_id = dprev.document_id WHERE CAST(prev.value AS REAL) <> 0 AND CAST(dcur.document_year AS INTEGER) = CAST(dprev.document_year AS INTEGER) + 1) sub WHERE ABS(sub.Variation_Pourcentage) > 10;"
"11","Combien de retours utilisateurs (tous types) sont associés à chaque document ?","SELECT d.document_id AS Identifiant_Document, COUNT(rf.feedback_id) AS Retours_Totaux FROM documents d LEFT JOIN extraction_results er ON d.document_id = er.document_id LEFT JOIN resultfeedbacks rf ON er.result_id = rf.result_id GROUP BY d.document_id;"
"12","Quels documents n'ont aucun résultat d'extraction associé ?","SELECT d.document_id AS 'Identifiant_Document' FROM documents d LEFT JOIN extraction_results er ON d.document_id = er.document_id WHERE er.result_id IS NULL;"
"15","Combien de documents sont associés à chaque code d'état ?","SELECT s.code AS 'Code_Etat', COUNT(*) AS 'Nombre_Documents' FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY s.code;"
"16","Quels documents ont un nombre de pages supérieur à la moyenne de leur format ?","SELECT d.document_id AS 'Identifiant_Document', d.nb_pages AS 'Pages', d.format AS 'Format' FROM documents d WHERE d.nb_pages > (SELECT AVG(nb_pages) FROM documents WHERE format = d.format);"
"17","Quel est le nombre de violations de règles de validation (messages d'erreur) par document ?","SELECT d.document_id AS 'Identifiant_Document', COUNT(er.result_id) AS 'Violations' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL GROUP BY d.document_id;"
"18","Quelles sont les 3 villes avec le plus grand nombre de documents, quel que soit le type ?","SELECT city_name AS 'Ville', COUNT(*) AS 'Nombre_Documents' FROM documents GROUP BY city_name ORDER BY COUNT(*) DESC LIMIT 3;"
"19","Quel est le ratio d'extractions réussies (SUCCESS) par rapport au total des extractions ?","SELECT (CAST(SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*)) * 100.0 AS 'Pourcentage_Success' FROM extraction_runs er JOIN states s ON er.state_id = s.state_id;"
"20","Pour chaque document, quel est l'état de son extraction la plus récente ?","SELECT d.document_id AS 'Identifiant_Document', er.state_id AS 'Etat_Extraction', s.code AS 'Code_Etat' FROM documents d JOIN (SELECT document_id, MAX(start_time) AS max_time FROM extraction_runs GROUP BY document_id) latest ON d.document_id = latest.document_id JOIN extraction_runs er ON er.document_id = d.document_id AND er.start_time = latest.max_time JOIN states s ON er.state_id = s.state_id;"
"1","Combien de documents ont été traités avec succès par ville et type de budget ?","SELECT d.city_name AS 'Ville', d.budget_type AS 'Type_Budget', COUNT(d.document_id) AS 'Nb_Documents' FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY d.city_name, d.budget_type ORDER BY Nb_Documents DESC;"
"2","Listez les documents dont l'exécution a échoué et indiquez le nombre de champs extraits en erreur.","SELECT d.document_id AS 'Document', COUNT(er.result_id) AS 'Nb_Erreurs' FROM documents d JOIN extraction_runs erun ON d.document_id = erun.document_id JOIN states srun ON erun.state_id = srun.state_id LEFT JOIN extraction_results er ON d.document_id = er.document_id JOIN states ser ON er.state_id = ser.state_id WHERE srun.code = 'ERROR' AND ser.code = 'ERROR' GROUP BY d.document_id;"
"4","Quels sont les 5 champs SAFIR qui ont généré le plus d'avertissements ?","SELECT er.safir_field_id AS 'Champ_SAFIR', COUNT(*) AS 'Nb_Avertissements' FROM extraction_results er WHERE er.message_warning IS NOT NULL GROUP BY er.safir_field_id ORDER BY Nb_Avertissements DESC LIMIT 5;"
"6","Quel masque de document est le plus fréquent parmi les documents avec extraction réussie ?","SELECT d.mask AS 'Masque', COUNT(*) AS 'Frequence' FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY d.mask ORDER BY Frequence DESC LIMIT 1;"
"7","Combien de règles de champ sont définies pour chaque jeu de règles ?","SELECT rs.ruleset_id AS 'Jeu_Rules', rs.description AS 'Description', COUNT(fr.extraction_rule_id) AS 'Nb_Rules' FROM field_rules fr JOIN rulesets rs ON fr.ruleset_id = rs.ruleset_id GROUP BY rs.ruleset_id, rs.description ORDER BY Nb_Rules DESC;"
"8","Listez les documents qui n'ont aucun résultat d'extraction associé.","SELECT d.document_id AS 'Document_Sans_Resultat' FROM documents d LEFT JOIN extraction_results er ON d.document_id = er.document_id WHERE er.result_id IS NULL;"
"9","Affichez la configuration JSON du dernier run d'extraction pour chaque document.","SELECT d.document_id AS 'Document', erun.config AS 'Configuration_JSON' FROM documents d JOIN extraction_runs erun ON d.document_id = erun.document_id WHERE erun.start_time = (SELECT MAX(start_time) FROM extraction_runs WHERE document_id = d.document_id);"
"11","Quel est le nombre total d'avertissements par niveau de problème de validation ?","SELECT vr.level_of_problem AS 'Niveau_Probleme', COUNT(vr.validation_rule_id) AS 'Nb_Rules' FROM validation_rules vr GROUP BY vr.level_of_problem ORDER BY vr.level_of_problem;"
"12","Quel est le nombre moyen de pages des documents par type de format ?","SELECT d.format AS 'Format', AVG(COALESCE(d.nb_pages,0)) AS 'Moyenne_Pages' FROM documents d GROUP BY d.format;"
"14","Pour chaque ville, indiquez le nombre de documents avec plus de 10 résultats d'extraction.","SELECT d.city_name AS 'Ville', COUNT(*) AS 'Nb_Documents' FROM documents d JOIN (SELECT document_id, COUNT(result_id) AS cnt FROM extraction_results GROUP BY document_id HAVING cnt > 10) ercnt ON d.document_id = ercnt.document_id GROUP BY d.city_name;"
"15","Quel est le pourcentage de champs extraits qui ont reçu au moins un feedback ?","SELECT ROUND(100.0 * COUNT(DISTINCT rf.result_id) / (SELECT COUNT(*) FROM extraction_results), 2) AS 'Pourcentage_Feedback' FROM resultfeedbacks rf;"
"16","Listez les règles de champ qui utilisent le masque 'M57_CA' et leur description JSON.","SELECT fr.extraction_rule_id AS 'Regle_ID', fr.definition AS 'Definition_JSON' FROM field_rules fr WHERE fr.mask = 'M57_CA';"
"17","Quel est le nombre de documents par état de traitement et par type de budget ?","SELECT s.code AS 'Etat', d.budget_type AS 'Type_Budget', COUNT(d.document_id) AS 'Nb_Documents' FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY s.code, d.budget_type ORDER BY s.code, d.budget_type;"
"18","Affichez les 3 dernières exécutions (run) avec leurs configurations.","SELECT erun.run_id AS 'Run_ID', erun.start_time AS 'Heure_Debut', erun.config AS 'Configuration_JSON' FROM extraction_runs erun ORDER BY erun.start_time DESC LIMIT 3;"
"19","Quel est le total cumulé des valeurs extraites pour tous les champs SAFIR du document de l'année 2023 ?","SELECT SUM(CAST(er.value AS FLOAT)) AS 'Total_Valeur_2023' FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2023';"
"20","Identifiez les documents dont le nombre de pages (valeur numérique) est supérieur ou égal à la moyenne des nombres de pages de tous les documents.","SELECT d.document_id AS Document, CAST(d.nb_pages AS INTEGER) AS Nb_Pages, (SELECT AVG(CAST(nb_pages AS INTEGER)) FROM documents WHERE nb_pages NOT GLOB '*[^0-9]*') AS Moyenne_Pages FROM documents d WHERE CAST(d.nb_pages AS INTEGER) >= (SELECT AVG(CAST(nb_pages AS INTEGER)) FROM documents WHERE nb_pages NOT GLOB '*[^0-9]*');"
"2","Compte le nombre de champs extraits et la somme des valeurs numériques pour chaque document au masque M57_CA.","SELECT d.document_id AS 'ID_Document', COUNT(r.result_id) AS 'Nb_Champs', SUM(CAST(r.value AS REAL)) AS 'Somme_Valeurs' FROM documents d JOIN extraction_results r ON d.document_id = r.document_id WHERE d.mask = 'M57_CA' GROUP BY d.document_id;"
"4","Identifie les champs et indique le nombre de retours (y compris zéro) ainsi que les valeurs corrigées proposées le cas échéant.","SELECT er.safir_field_id AS Champ, COUNT(rf.feedback_id) AS Nb_Feedbacks, COALESCE(GROUP_CONCAT(rf.corrected_value, '; '), '') AS Valeurs_Corrigees FROM extraction_results er LEFT JOIN resultfeedbacks rf ON er.result_id = rf.result_id GROUP BY er.safir_field_id;"
"5","Affiche les règles d'extraction pour tous les champs existants, avec leurs définitions JSON, quel que soit le masque.","SELECT fr.safir_field_id AS Champ, fr.definition AS Definition_Rule FROM field_rules fr;"
"6","Liste les documents en état ERROR qui possèdent au moins un message d'erreur dans les résultats d'extraction.","SELECT DISTINCT d.document_id AS 'ID_Document', d.link_bucketS3 AS 'Lien_S3', s.code AS 'Statut' FROM documents d JOIN states s ON d.state_id = s.state_id JOIN extraction_results r ON d.document_id = r.document_id WHERE s.code = 'ERROR' AND r.message_error IS NOT NULL;"
"7","Top 5 des champs financiers avec la plus grande moyenne de valeur extraite (exclure les valeurs nulles).","SELECT er.safir_field_id AS 'Champ', AVG(CAST(er.value AS REAL)) AS 'Moyenne_Valeur' FROM extraction_results er WHERE er.value IS NOT NULL GROUP BY er.safir_field_id ORDER BY Moyenne_Valeur DESC LIMIT 5;"
"9","Calcule le nombre moyen de pages des documents PDF créés depuis le 1er janvier 2021.","SELECT AVG(d.nb_pages) AS Pages_Moyennes FROM documents d WHERE LOWER(d.format) = 'pdf' AND d.created_at >= '2021-01-01';"
"10","Liste les champs qui ont au moins un résultat d'extraction.","SELECT DISTINCT er.safir_field_id AS Champ FROM extraction_results er;"
"12","Trouve les documents qui partagent le même SIRET que d'autres documents et montre leurs états respectifs.","SELECT d1.document_id AS 'Doc1', d1.state_id AS 'Etat1', d2.document_id AS 'Doc2', d2.state_id AS 'Etat2' FROM documents d1 JOIN documents d2 ON d1.siret = d2.siret AND d1.document_id <> d2.document_id;"
"13","Nombre total de runs par état de traitement.","SELECT s.code AS 'Statut_Run', COUNT(er.run_id) AS 'Nb_Runs' FROM extraction_runs er JOIN states s ON er.state_id = s.state_id GROUP BY s.code;"
"14","Liste les champs extraits dont la valeur dépasse un million d'euros, avec le document et la ville associés.","SELECT er.safir_field_id AS 'Champ', er.value AS 'Valeur', d.document_id AS 'ID_Document', d.city_name AS 'Ville' FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE CAST(er.value AS REAL) > 1000000;"
"16","Pour chaque document au masque M57_CA, indique le nombre de règles d'extraction définies.","SELECT d.document_id AS 'ID_Document', COUNT(fr.extraction_rule_id) AS 'Nb_Rules' FROM documents d JOIN field_rules fr ON d.mask = fr.mask WHERE d.mask = 'M57_CA' GROUP BY d.document_id;"
"17","Calcule, pour chaque document, le ratio de champs avec avertissement par rapport au nombre total de champs extraits.","SELECT d.document_id AS 'ID_Document', SUM(CASE WHEN er.message_warning IS NOT NULL THEN 1 ELSE 0 END) * 1.0 / COUNT(er.result_id) AS 'Ratio_Avertissements' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id GROUP BY d.document_id;"
"18","Pour chaque document, indique la date du dernier run et le statut de ce run.","SELECT d.document_id AS 'ID_Document', er.start_time AS 'Dernier_Run', s.code AS 'Statut_Run' FROM documents d JOIN (SELECT er1.document_id, er1.start_time, er1.state_id, ROW_NUMBER() OVER (PARTITION BY er1.document_id ORDER BY er1.start_time DESC) AS rn FROM extraction_runs er1) er ON d.document_id = er.document_id AND er.rn = 1 JOIN states s ON er.state_id = s.state_id;"
"20","Compte le nombre de documents par type de budget et par année, triés par année décroissante puis par type de budget.","SELECT d.budget_type AS 'Type_Budget', d.document_year AS 'Année', COUNT(d.document_id) AS 'Nb_Documents' FROM documents d GROUP BY d.budget_type, d.document_year ORDER BY d.document_year DESC, d.budget_type;"
"2","Combien de documents sont dans chaque état avec un message d'avertissement ?","SELECT s.code AS 'Etat', COUNT(d.document_id) AS 'Nb_Documents_Avertissement' FROM documents d JOIN states s ON d.state_id = s.state_id WHERE d.warning_message IS NOT NULL AND d.warning_message <> '' GROUP BY s.code;"
"3","Quels SIRET ont importé des documents contenant au moins un résultat d'extraction avec une erreur ?","SELECT DISTINCT d.siret AS 'SIRET_Erreur' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND er.message_error <> '';"
"5","Quels sont les 5 champs SAFIR avec la plus grande somme de valeurs extraites ?","SELECT er.safir_field_id AS 'Champ_SAFIR', SUM(CAST(er.value AS REAL)) AS 'Somme_Val' FROM extraction_results er GROUP BY er.safir_field_id ORDER BY Somme_Val DESC LIMIT 5;"
"6","Combien de runs d'extraction ont réussi pour chaque document ?","SELECT d.document_id AS 'Doc_ID', COUNT(r.run_id) AS 'Runs_Succes' FROM documents d JOIN extraction_runs r ON d.document_id = r.document_id JOIN states s ON r.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY d.document_id;"
"7","Liste des documents qui ont à la fois un message d'erreur et un message d'avertissement.","SELECT d.document_id AS 'Doc_ID', d.error_message AS 'Erreur', d.warning_message AS 'Avertissement' FROM documents d WHERE d.error_message IS NOT NULL AND d.error_message <> '' AND d.warning_message IS NOT NULL AND d.warning_message <> '';"
"8","Combien de niveaux de problème différents existent dans les règles de validation pour chaque jeu de règles ?","SELECT rs.ruleset_id AS 'Jeu_Règles', COUNT(DISTINCT vr.level_of_problem) AS 'Nb_Niveaux_Problème' FROM rulesets rs JOIN validation_rules vr ON rs.ruleset_id = vr.ruleset_id GROUP BY rs.ruleset_id;"
"10","Quel est le ratio de documents réussis sur le total des documents pour chaque année budgétaire ?","SELECT d.document_year AS 'Année', ROUND( (SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) * 1.0) / COUNT(d.document_id), 2) AS 'Ratio_Succes' FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY d.document_year;"
